NOMENUM;LSTM RMSE;Prophet RMSE;LSTM R2;Prophet R2
Frutuoso Gomes;24.528185641326083;444.75841815671345;0.864727482484149;-37.8379320827428
Japaratuba;16.799690792677964;73.98223129156818;0.8902505374709618;-1.2418544878926734
Campo Belo;938.7314348785316;2292.0645779540096;0.3909346502339165;-2.0976099854541133
Agricolândia;27.88887194564872;57.44675953201045;0.8443586172115713;0.3341604217380011
Bonfinópolis de Minas;7.52544697992073;50.37999947466085;-0.22521687108676014;-40.87513099241159
Missão Velha;55.236763290498764;88.59415046694096;0.8873267761619265;0.7215484831226234
Itambé;73.75004386712497;257.50768130931215;0.8452424093351306;-0.7945775039548397
Jati;75.890257669653;234.45600143997024;0.6190139620245996;-2.472924518472775
Itapeva;160.63415777741537;2565.7181622714925;0.9783289395683252;-4.068794338091858
Macaíba;81.81701794857648;1571.6342669080104;0.964523749276731;-10.95868364250356
Guaratuba;1480.7151573691217;1613.0647080250594;-3.8244261922624077;-3.8447854677897446
Palmácia;16.7685400828153;56.146272599015134;0.7607804721011243;-1.6989289167247335
Milagres;91.36034014074933;643.5248031475132;0.7877519140070475;-9.40069465077456
Aratuba;44.26779940326955;50.72866452643956;0.6674958711113896;0.5833740042051193
Óbidos;42.769242571035825;742.1320103506192;0.9531234200185095;-12.527456698347192
Apiaí;10.606420110698558;80.3754424987941;-8.43053068915615;-492.9842115915618
Paranaguá;844.6757389661984;339.54172335999544;-0.11339944617034048;0.8474930797541226
Itu;405.2808578070791;1938.356583511757;0.9783489460326928;0.5266861929890159
Mucambo;944.2813627688894;172.19226445437357;-12.110479307796084;0.5878297762409097
Gurupá;6.860965468111862;578.2499351854667;-0.25282570270781446;-8699.79251682153
Coribe;25.509893883242338;445.4921263023355;0.9668031241653653;-7.242751265530533
Itapirapuã Paulista;6.201718822992714;85.81099686415733;0.9937213350275435;-0.10098879521693305
Cocos;161.44983407215727;234.85816130692837;-0.004010481886932427;-0.8650486509757436
Avaré;168.88614038505682;806.3057018825481;0.8819592893800242;-1.3196073276274616
Indaiatuba;65.07383604149322;894.8467866802044;0.9446224175622059;-8.409628835685831
Paranatinga;100.95720544124381;149.55417858964242;0.7912418391104905;0.5734556861779052
Beruri;45.29613628968379;306.2221506281666;-0.23125924040422108;-55.4509812092101
Lábrea;367.10778785981313;236.27639077267543;0.27000067918382686;0.7092195565292037
Anajás;8.732343705890136;81.19423312370583;-17.33017682635572;-1464.8318596449787
